"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","11.91","11.96","12.02","11.80","684.45K","-0.41%"
"Dec 17, 2022","11.96","11.84","11.98","11.53","902.62K","1.01%"
"Dec 16, 2022","11.84","13.17","13.29","11.60","1.78M","-10.16%"
"Dec 15, 2022","13.18","13.71","13.88","13.10","1.26M","-3.87%"
"Dec 14, 2022","13.71","13.76","14.17","13.58","1.69M","-0.35%"
"Dec 13, 2022","13.76","13.00","14.13","12.57","3.11M","5.84%"
"Dec 12, 2022","13.00","12.98","13.05","12.54","1.09M","0.15%"
"Dec 11, 2022","12.98","13.50","13.50","12.94","620.86K","-3.85%"
"Dec 10, 2022","13.50","13.46","13.58","13.34","512.60K","0.30%"
"Dec 09, 2022","13.46","13.42","13.61","13.36","739.09K","0.37%"
"Dec 08, 2022","13.41","13.28","13.51","13.06","904.14K","0.98%"
"Dec 07, 2022","13.28","13.68","13.69","13.00","1.11M","-2.92%"
"Dec 06, 2022","13.68","13.60","13.68","13.47","808.75K","0.59%"
"Dec 05, 2022","13.60","13.93","14.32","13.47","1.46M","-2.37%"
"Dec 04, 2022","13.93","13.40","13.94","13.40","1.11M","3.95%"
"Dec 03, 2022","13.40","13.59","13.87","13.32","1.68M","-1.40%"
"Dec 02, 2022","13.59","12.90","13.64","12.80","1.79M","5.43%"
"Dec 01, 2022","12.89","13.20","13.31","12.81","1.33M","-1.38%"
"Nov 30, 2022","13.07","12.47","13.16","12.47","1.74M","4.81%"
"Nov 29, 2022","12.47","12.45","12.72","12.30","1.74M","0.16%"
"Nov 28, 2022","12.45","12.86","12.99","11.99","1.85M","-3.19%"
"Nov 27, 2022","12.86","12.75","13.25","12.70","906.76K","0.87%"
"Nov 26, 2022","12.75","12.81","13.22","12.63","911.72K","-0.47%"
"Nov 25, 2022","12.81","12.96","13.04","12.53","925.71K","-1.15%"
"Nov 24, 2022","12.96","13.07","13.40","12.77","1.41M","-0.84%"
"Nov 23, 2022","13.07","12.36","13.07","12.36","1.90M","5.75%"
"Nov 22, 2022","12.36","11.83","12.37","11.49","2.10M","4.47%"
"Nov 21, 2022","11.83","12.20","12.20","11.60","1.83M","-3.03%"
"Nov 20, 2022","12.20","12.89","13.14","12.09","1.16M","-5.35%"
"Nov 19, 2022","12.89","12.79","12.97","12.76","720.62K","-0.62%"
"Nov 18, 2022","12.97","13.03","13.25","12.90","1.37M","-0.16%"
"Nov 17, 2022","12.99","13.00","13.31","12.65","1.69M","-0.07%"
"Nov 16, 2022","13.00","13.51","13.72","12.86","1.28M","-3.77%"
"Nov 15, 2022","13.51","13.13","14.00","13.02","1.66M","2.90%"
"Nov 14, 2022","13.13","13.02","13.60","12.07","2.95M","0.76%"
"Nov 13, 2022","13.03","13.09","13.36","12.70","1.82M","-0.46%"
"Nov 12, 2022","13.09","14.12","14.13","12.93","1.62M","-7.30%"
"Nov 11, 2022","14.12","15.42","15.45","13.60","3.65M","-8.43%"
"Nov 10, 2022","15.42","12.90","15.92","12.70","4.66M","19.53%"
"Nov 09, 2022","12.90","16.01","16.15","12.10","6.77M","-19.43%"
"Nov 08, 2022","16.01","18.07","18.15","14.87","7.63M","-11.40%"
"Nov 07, 2022","18.07","18.25","18.86","17.76","2.02M","-0.98%"
"Nov 06, 2022","18.25","19.60","19.72","18.24","1.31M","-6.89%"
"Nov 05, 2022","19.60","19.38","20.54","19.18","2.60M","1.14%"
"Nov 04, 2022","19.38","18.03","19.67","17.89","2.32M","7.49%"
"Nov 03, 2022","18.03","17.91","18.86","17.81","1.48M","0.66%"
"Nov 02, 2022","17.91","18.62","18.76","17.45","2.72M","-3.81%"
"Nov 01, 2022","18.62","19.29","19.48","18.57","1.78M","-3.47%"
"Oct 31, 2022","19.29","18.26","19.76","18.20","3.35M","5.64%"
"Oct 30, 2022","18.26","18.29","18.81","17.93","1.73M","-0.17%"
"Oct 29, 2022","18.29","18.33","18.89","18.16","2.14M","-0.22%"
"Oct 28, 2022","18.33","16.90","18.40","16.75","2.86M","8.46%"
"Oct 27, 2022","16.90","17.01","17.50","16.84","2.24M","-0.65%"
"Oct 26, 2022","17.01","16.64","17.32","16.64","2.11M","2.22%"
"Oct 25, 2022","16.64","15.76","17.04","15.60","2.20M","5.59%"
"Oct 24, 2022","15.76","16.30","16.47","15.64","1.11M","-3.31%"
"Oct 23, 2022","16.30","15.68","16.35","15.61","1.51M","3.96%"
"Oct 22, 2022","15.68","15.68","15.89","15.53","741.22K","0.00%"
"Oct 21, 2022","15.68","15.16","15.74","14.62","2.00M","3.44%"
"Oct 20, 2022","15.16","15.06","15.46","14.90","1.71M","0.66%"
