"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","0.9999","1.0000","1.0000","0.9999","346.83M","-0.01%"
"Dec 17, 2022","1.0000","0.9999","1.0000","0.9996","764.40M","0.01%"
"Dec 16, 2022","0.9999","0.9999","1.0000","0.9999","661.17M","-0.01%"
"Dec 15, 2022","1.0000","0.9999","1.0000","0.9998","533.44M","0.01%"
"Dec 14, 2022","0.9999","0.9999","1.0001","0.9998","825.10M","0.00%"
"Dec 13, 2022","0.9999","0.9998","1.0001","0.9989","2.43B","0.01%"
"Dec 12, 2022","0.9998","1.0000","1.0000","0.9997","987.15M","-0.02%"
"Dec 11, 2022","1.0000","0.9999","1.0000","0.9999","263.38M","0.01%"
"Dec 10, 2022","0.9999","0.9999","1.0000","0.9999","322.32M","0.00%"
"Dec 09, 2022","0.9999","0.9998","1.0000","0.9998","430.57M","0.01%"
"Dec 08, 2022","0.9998","1.0001","1.0001","0.9998","483.85M","-0.03%"
"Dec 07, 2022","1.0001","0.9999","1.0001","0.9999","571.23M","0.02%"
"Dec 06, 2022","0.9999","0.9999","1.0000","0.9997","665.56M","0.00%"
"Dec 05, 2022","0.9999","0.9999","1.0000","0.9997","641.53M","0.00%"
"Dec 04, 2022","0.9999","1.0000","1.0000","0.9998","341.02M","-0.01%"
"Dec 03, 2022","1.0000","0.9999","1.0000","0.9999","360.53M","0.01%"
"Dec 02, 2022","0.9999","0.9999","1.0000","0.9998","806.81M","-0.01%"
"Dec 01, 2022","1.0000","0.9999","1.0001","0.9999","778.91M","0.01%"
"Nov 30, 2022","0.9999","1.0003","1.0005","0.9999","1.11B","-0.04%"
"Nov 29, 2022","1.0003","1.0003","1.0005","1.0003","774.19M","0.00%"
"Nov 28, 2022","1.0003","1.0004","1.0005","1.0003","867.24M","-0.01%"
"Nov 27, 2022","1.0004","1.0005","1.0006","1.0004","503.27M","-0.01%"
"Nov 26, 2022","1.0005","1.0005","1.0006","1.0005","535.72M","0.00%"
"Nov 25, 2022","1.0005","1.0008","1.0008","1.0005","695.63M","-0.03%"
"Nov 24, 2022","1.0008","1.0011","1.0011","1.0006","1.02B","-0.03%"
"Nov 23, 2022","1.0011","1.0011","1.0013","1.0010","1.09B","0.00%"
"Nov 22, 2022","1.0011","1.0011","1.0015","1.0010","1.24B","0.00%"
"Nov 21, 2022","1.0011","1.0013","1.0017","1.0010","1.14B","-0.02%"
"Nov 20, 2022","1.0013","1.0012","1.0016","1.0011","951.56M","0.01%"
"Nov 19, 2022","1.0012","1.0010","1.0012","1.0010","346.37M","0.00%"
"Nov 18, 2022","1.0012","1.0007","1.0012","1.0007","866.34M","0.05%"
"Nov 17, 2022","1.0007","1.0010","1.0010","1.0005","632.96M","-0.03%"
"Nov 16, 2022","1.0010","1.0011","1.0023","1.0007","917.15M","-0.02%"
"Nov 15, 2022","1.0012","1.0013","1.0017","1.0008","954.22M","-0.01%"
"Nov 14, 2022","1.0013","1.0015","1.0020","1.0011","1.38B","-0.03%"
"Nov 13, 2022","1.0016","1.0016","1.0018","1.0011","1.06B","0.00%"
"Nov 12, 2022","1.0016","1.0022","1.0027","1.0014","1.24B","-0.06%"
"Nov 11, 2022","1.0022","1.0027","1.0043","1.0017","1.76B","-0.06%"
"Nov 10, 2022","1.0028","1.0022","1.0284","1.0013","4.46B","0.06%"
"Nov 09, 2022","1.0022","1.0000","1.0022","1.0000","4.34B","0.22%"
"Nov 08, 2022","1.0000","0.9998","1.0001","0.9993","2.49B","0.02%"
"Nov 07, 2022","0.9998","0.9999","1.0000","0.9998","867.21M","-0.01%"
"Nov 06, 2022","0.9999","1.0000","1.0001","0.9999","465.19M","-0.01%"
"Nov 05, 2022","1.0000","1.0000","1.0000","0.9998","632.07M","0.01%"
"Nov 04, 2022","0.9999","1.0001","1.0001","0.9999","840.38M","-0.02%"
"Nov 03, 2022","1.0001","1.0000","1.0001","1.0000","640.09M","0.01%"
"Nov 02, 2022","1.0000","1.0002","1.0002","0.9999","761.89M","-0.02%"
"Nov 01, 2022","1.0002","1.0001","1.0004","1.0001","981.82M","0.01%"
"Oct 31, 2022","1.0001","0.9998","1.0002","0.9997","1.26B","0.03%"
"Oct 30, 2022","0.9998","0.9997","0.9999","0.9996","698.64M","0.01%"
"Oct 29, 2022","0.9997","0.9998","0.9999","0.9996","868.90M","-0.01%"
"Oct 28, 2022","0.9998","1.0000","1.0000","0.9998","519.81M","-0.02%"
"Oct 27, 2022","1.0000","0.9997","1.0000","0.9997","633.47M","0.03%"
"Oct 26, 2022","0.9997","0.9997","0.9999","0.9997","868.18M","0.00%"
"Oct 25, 2022","0.9997","1.0000","1.0000","0.9996","757.57M","-0.03%"
"Oct 24, 2022","1.0000","1.0000","1.0000","0.9998","474.69M","0.00%"
"Oct 23, 2022","1.0000","0.9999","1.0000","0.9998","434.53M","0.01%"
