"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","0.2658","0.2669","0.2710","0.2632","143.27M","-0.42%"
"Dec 17, 2022","0.2669","0.2634","0.2675","0.2588","221.48M","1.31%"
"Dec 16, 2022","0.2634","0.3002","0.3012","0.2557","273.06M","-12.25%"
"Dec 15, 2022","0.3002","0.3079","0.3086","0.2975","121.12M","-2.52%"
"Dec 14, 2022","0.3079","0.3141","0.3156","0.3059","128.86M","-1.94%"
"Dec 13, 2022","0.3140","0.3069","0.3184","0.2994","170.30M","2.34%"
"Dec 12, 2022","0.3069","0.3074","0.3078","0.3013","83.82M","-0.16%"
"Dec 11, 2022","0.3074","0.3126","0.3150","0.3059","50.96M","-1.67%"
"Dec 10, 2022","0.3126","0.3118","0.3149","0.3106","34.51M","0.29%"
"Dec 09, 2022","0.3117","0.3143","0.3163","0.3089","68.24M","-0.84%"
"Dec 08, 2022","0.3144","0.3102","0.3157","0.3075","76.13M","1.35%"
"Dec 07, 2022","0.3102","0.3182","0.3192","0.3070","106.16M","-2.54%"
"Dec 06, 2022","0.3182","0.3193","0.3211","0.3140","74.00M","-0.34%"
"Dec 05, 2022","0.3193","0.3222","0.3288","0.3165","91.04M","-0.99%"
"Dec 04, 2022","0.3225","0.3196","0.3238","0.3183","76.13M","0.91%"
"Dec 03, 2022","0.3196","0.3192","0.3258","0.3169","113.25M","0.11%"
"Dec 02, 2022","0.3193","0.3145","0.3198","0.3107","84.15M","1.51%"
"Dec 01, 2022","0.3145","0.3187","0.3196","0.3127","95.17M","-1.32%"
"Nov 30, 2022","0.3187","0.3091","0.3208","0.3086","135.68M","3.10%"
"Nov 29, 2022","0.3091","0.3065","0.3125","0.3043","86.26M","0.83%"
"Nov 28, 2022","0.3066","0.3126","0.3139","0.3003","152.90M","-1.92%"
"Nov 27, 2022","0.3126","0.3135","0.3194","0.3117","68.62M","-0.30%"
"Nov 26, 2022","0.3135","0.3145","0.3221","0.3112","92.65M","-0.32%"
"Nov 25, 2022","0.3145","0.3163","0.3170","0.3076","106.72M","-0.56%"
"Nov 24, 2022","0.3163","0.3187","0.3211","0.3117","104.29M","-0.78%"
"Nov 23, 2022","0.3188","0.3125","0.3193","0.3093","166.45M","2.02%"
"Nov 22, 2022","0.3124","0.3046","0.3166","0.2985","153.12M","2.58%"
"Nov 21, 2022","0.3046","0.3122","0.3130","0.2964","212.03M","-2.42%"
"Nov 20, 2022","0.3122","0.3280","0.3310","0.3103","115.33M","-4.83%"
"Nov 19, 2022","0.3280","0.3248","0.3321","0.3247","68.89M","1.24%"
"Nov 18, 2022","0.3240","0.3261","0.3325","0.3209","103.94M","-0.43%"
"Nov 17, 2022","0.3254","0.3286","0.3343","0.3190","105.49M","-0.95%"
"Nov 16, 2022","0.3285","0.3371","0.3443","0.3242","119.50M","-2.55%"
"Nov 15, 2022","0.3371","0.3321","0.3447","0.3299","130.49M","1.52%"
"Nov 14, 2022","0.3321","0.3297","0.3416","0.3143","225.24M","0.71%"
