"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","0.9999","0.9998","1.0001","0.9998","675.94K","0.01%"
"Dec 17, 2022","0.9998","1.0000","1.0001","0.9984","774.73K","-0.02%"
"Dec 16, 2022","1.0000","0.9997","1.0001","0.9997","828.95K","0.03%"
"Dec 15, 2022","0.9997","1.0001","1.0003","0.9992","978.87K","-0.04%"
"Dec 14, 2022","1.0000","0.9999","1.0006","0.9996","917.86K","0.01%"
"Dec 13, 2022","0.9999","0.9998","1.0000","0.9981","1.84M","0.01%"
"Dec 12, 2022","0.9998","0.9991","0.9999","0.9979","4.61M","0.08%"
"Dec 11, 2022","0.9991","1.0000","1.0001","0.9978","2.24M","-0.09%"
"Dec 10, 2022","1.0000","0.9996","1.0003","0.9992","514.31K","0.04%"
"Dec 09, 2022","0.9996","0.9999","1.0000","0.9995","501.62K","-0.04%"
"Dec 08, 2022","1.0000","0.9997","1.0000","0.9996","1.00M","0.04%"
"Dec 07, 2022","0.9996","0.9998","1.0001","0.9995","1.16M","-0.01%"
"Dec 06, 2022","0.9998","0.9998","1.0000","0.9996","832.80K","-0.01%"
"Dec 05, 2022","0.9998","0.9999","1.0001","0.9997","2.19M","-0.01%"
"Dec 04, 2022","0.9999","0.9999","1.0002","0.9997","1.03M","0.00%"
"Dec 03, 2022","0.9999","0.9999","1.0001","0.9997","613.50K","0.00%"
"Dec 02, 2022","0.9999","1.0001","1.0002","0.9997","1.03M","-0.02%"
"Dec 01, 2022","1.0001","0.9997","1.0002","0.9996","1.38M","0.04%"
"Nov 30, 2022","0.9997","0.9999","1.0001","0.9996","2.18M","-0.01%"
"Nov 29, 2022","0.9999","0.9997","1.0003","0.9997","1.47M","0.01%"
"Nov 28, 2022","0.9997","0.9999","1.0001","0.9995","1.33M","-0.02%"
"Nov 27, 2022","1.0000","1.0000","1.0002","0.9998","333.07K","0.01%"
"Nov 26, 2022","0.9999","0.9998","1.0001","0.9998","635.10K","0.01%"
"Nov 25, 2022","0.9998","1.0000","1.0002","0.9997","693.05K","-0.01%"
"Nov 24, 2022","0.9999","0.9998","1.0004","0.9997","1.16M","0.00%"
"Nov 23, 2022","0.9998","0.9998","1.0000","0.9996","2.20M","0.00%"
"Nov 22, 2022","0.9998","0.9998","1.0001","0.9996","2.27M","0.00%"
"Nov 21, 2022","0.9998","0.9994","1.0001","0.9987","3.01M","0.04%"
"Nov 20, 2022","0.9994","0.9999","1.0000","0.9992","2.33M","-0.05%"
"Nov 19, 2022","0.9999","0.9997","1.0000","0.9993","2.36M","0.01%"
"Nov 18, 2022","0.9998","0.9997","1.0006","0.9995","1.10M","0.01%"
"Nov 17, 2022","0.9997","0.9997","1.0000","0.9986","1.75M","0.00%"
"Nov 16, 2022","0.9997","0.9999","1.0004","0.9987","3.57M","-0.02%"
"Nov 15, 2022","0.9999","0.9999","1.0006","0.9994","1.33M","0.00%"
"Nov 14, 2022","0.9999","1.0000","1.0011","0.9993","1.62M","-0.01%"
"Nov 13, 2022","1.0000","0.9999","1.0012","0.9987","1.36M","0.01%"
"Nov 12, 2022","0.9999","0.9997","1.0020","0.9984","1.90M","0.02%"
"Nov 11, 2022","0.9997","1.0005","1.0013","0.9988","3.21M","-0.07%"
"Nov 10, 2022","1.0005","1.0004","1.0073","0.9966","5.16M","0.01%"
"Nov 09, 2022","1.0004","0.9996","1.0042","0.9984","6.64M","0.07%"
"Nov 08, 2022","0.9997","0.9998","1.0000","0.9992","4.36M","-0.01%"
"Nov 07, 2022","0.9998","0.9999","1.0006","0.9997","2.02M","-0.01%"
"Nov 06, 2022","0.9999","0.9999","1.0001","0.9998","1.04M","0.00%"
"Nov 05, 2022","0.9999","1.0000","1.0001","0.9998","1.10M","0.00%"
"Nov 04, 2022","0.9999","0.9999","1.0001","0.9994","2.25M","0.00%"
"Nov 03, 2022","0.9999","0.9999","1.0000","0.9997","838.51K","0.00%"
"Nov 02, 2022","0.9999","0.9997","1.0001","0.9994","1.87M","0.02%"
"Nov 01, 2022","0.9997","0.9998","1.0000","0.9994","1.56M","-0.02%"
"Oct 31, 2022","1.0000","0.9997","1.0002","0.9983","4.37M","0.03%"
"Oct 30, 2022","0.9997","0.9997","0.9999","0.9993","1.38M","-0.01%"
"Oct 29, 2022","0.9998","0.9997","1.0001","0.9994","1.64M","-0.01%"
"Oct 28, 2022","0.9999","0.9999","1.0004","0.9993","1.93M","0.00%"
"Oct 27, 2022","0.9999","1.0004","1.0004","0.9998","2.19M","-0.05%"
"Oct 26, 2022","1.0004","1.0000","1.0006","0.9996","2.96M","0.04%"
"Oct 25, 2022","1.0000","1.0001","1.0003","0.9994","2.53M","-0.01%"
"Oct 24, 2022","1.0001","0.9999","1.0005","0.9997","1.83M","0.02%"
"Oct 23, 2022","0.9999","1.0003","1.0006","0.9999","717.42K","-0.04%"
"Oct 22, 2022","1.0003","0.9995","1.0003","0.9994","716.80K","0.07%"
"Oct 21, 2022","0.9996","1.0000","1.0002","0.9991","1.03M","-0.03%"
"Oct 20, 2022","1.0000","1.0000","1.0001","0.9997","715.41K","0.00%"
"Oct 19, 2022","0.9999","0.9999","1.0002","0.9993","1.13M","0.01%"
"Oct 18, 2022","0.9999","1.0000","1.0003","0.9994","1.93M","-0.01%"
"Oct 17, 2022","1.0000","0.9999","1.0003","0.9991","1.89M","0.01%"
"Oct 16, 2022","0.9999","1.0002","1.0002","0.9998","646.03K","-0.03%"
"Oct 15, 2022","1.0002","1.0003","1.0004","1.0000","701.42K","0.00%"
"Oct 14, 2022","1.0003","0.9999","1.0008","0.9999","1.84M","0.03%"
"Oct 13, 2022","0.9999","1.0000","1.0008","0.9995","3.57M","0.00%"
"Oct 12, 2022","1.0000","1.0000","1.0002","0.9998","1.43M","-0.01%"
"Oct 11, 2022","1.0001","0.9998","1.0001","0.9998","977.70K","0.03%"
"Oct 10, 2022","0.9998","1.0000","1.0000","0.9987","1.08M","-0.02%"
"Oct 09, 2022","1.0000","0.9999","1.0002","0.9995","830.47K","0.01%"
"Oct 08, 2022","0.9999","1.0000","1.0001","0.9996","735.41K","-0.01%"
"Oct 07, 2022","1.0000","0.9999","1.0002","0.9995","1.35M","0.01%"
"Oct 06, 2022","0.9999","0.9989","1.0002","0.9987","1.41M","0.09%"
"Oct 05, 2022","0.9990","0.9996","1.0000","0.9983","3.04M","-0.06%"
"Oct 04, 2022","0.9996","0.9998","1.0000","0.9902","3.25M","-0.02%"
"Oct 03, 2022","0.9998","0.9998","1.0001","0.9985","3.43M","0.00%"
"Oct 02, 2022","0.9998","0.9999","1.0000","0.9997","518.56K","-0.01%"
"Oct 01, 2022","0.9999","0.9999","1.0002","0.9998","990.58K","-0.01%"
"Sep 30, 2022","1.0000","0.9999","1.0001","0.9996","1.45M","0.01%"
"Sep 29, 2022","0.9999","0.9995","1.0000","0.9992","1.95M","0.04%"
"Sep 28, 2022","0.9995","0.9999","1.0004","0.9990","1.56M","-0.04%"
"Sep 27, 2022","0.9999","0.9999","1.0002","0.9987","2.29M","0.01%"
"Sep 26, 2022","0.9998","1.0000","1.0003","0.9975","1.86M","-0.02%"
"Sep 25, 2022","1.0000","1.0003","1.0003","0.9994","1.03M","-0.03%"
"Sep 24, 2022","1.0003","1.0000","1.0003","0.9999","1.94M","0.03%"
"Sep 23, 2022","1.0000","0.9999","1.0003","0.9995","6.37M","0.02%"
"Sep 22, 2022","0.9998","0.9999","1.0000","0.9984","1.15M","0.00%"
"Sep 21, 2022","0.9999","0.9999","1.0002","0.9996","2.02M","0.00%"
"Sep 20, 2022","0.9999","0.9999","1.0003","0.9995","1.58M","0.00%"
"Sep 19, 2022","0.9999","0.9999","1.0000","0.9991","1.33M","-0.01%"
"Sep 18, 2022","1.0000","0.9997","1.0002","0.9994","1.21M","0.03%"
"Sep 17, 2022","0.9997","1.0000","1.0002","0.9996","945.72K","-0.03%"
"Sep 16, 2022","1.0000","0.9998","1.0004","0.9985","1.47M","0.02%"
"Sep 15, 2022","0.9998","0.9996","1.0001","0.9987","3.81M","0.02%"
"Sep 14, 2022","0.9996","0.9999","1.0000","0.9986","1.88M","-0.03%"
"Sep 13, 2022","0.9999","0.9999","1.0002","0.9992","4.29M","0.00%"
