"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","0.054101","0.054871","0.055136","0.053255","744.54M","-1.40%"
"Dec 17, 2022","0.054871","0.052942","0.054980","0.051895","713.14M","3.64%"
"Dec 16, 2022","0.052943","0.055772","0.056189","0.052587","739.61M","-5.07%"
"Dec 15, 2022","0.055771","0.055573","0.056082","0.055128","621.36M","0.36%"
"Dec 14, 2022","0.055572","0.054502","0.057558","0.054476","939.10M","1.97%"
"Dec 13, 2022","0.054501","0.053530","0.054519","0.052484","846.64M","1.82%"
"Dec 12, 2022","0.053529","0.053972","0.053980","0.051996","909.89M","-0.80%"
"Dec 11, 2022","0.053959","0.054829","0.054960","0.053740","300.60M","-1.59%"
"Dec 10, 2022","0.054829","0.054616","0.055639","0.054616","415.98M","0.40%"
"Dec 09, 2022","0.054609","0.054498","0.055056","0.054297","465.71M","0.20%"
"Dec 08, 2022","0.054502","0.053112","0.054568","0.052965","519.40M","2.61%"
"Dec 07, 2022","0.053113","0.053629","0.053658","0.052412","602.89M","-0.96%"
"Dec 06, 2022","0.053629","0.053350","0.053725","0.052629","606.14M","0.52%"
"Dec 05, 2022","0.053350","0.053115","0.053739","0.052961","641.76M","0.44%"
"Dec 04, 2022","0.053117","0.053583","0.054142","0.052943","483.44M","-0.88%"
"Dec 03, 2022","0.053589","0.054448","0.054625","0.053522","387.38M","-1.58%"
"Dec 02, 2022","0.054448","0.054154","0.054496","0.053826","506.24M","0.55%"
"Dec 01, 2022","0.054152","0.054649","0.055065","0.053998","578.71M","-0.70%"
"Nov 30, 2022","0.054534","0.053259","0.054599","0.053258","687.87M","2.39%"
"Nov 29, 2022","0.053261","0.052990","0.054392","0.052775","781.50M","0.51%"
"Nov 28, 2022","0.052990","0.053271","0.053989","0.051897","872.87M","-0.53%"
"Nov 27, 2022","0.053271","0.052788","0.054129","0.052773","564.56M","0.92%"
"Nov 26, 2022","0.052788","0.052946","0.053648","0.052442","503.87M","-0.29%"
"Nov 25, 2022","0.052942","0.052839","0.053348","0.052010","812.17M","0.19%"
"Nov 24, 2022","0.052839","0.051817","0.053756","0.051420","1.12B","1.97%"
"Nov 23, 2022","0.051818","0.050720","0.051863","0.050199","889.96M","2.17%"
"Nov 22, 2022","0.050718","0.051525","0.052608","0.048940","1.42B","-1.57%"
"Nov 21, 2022","0.051525","0.050079","0.051672","0.049235","1.14B","2.89%"
