"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","5.3719","5.3865","5.4055","5.3175","1.50M","-0.29%"
"Dec 17, 2022","5.3875","5.3058","5.4390","5.2454","2.44M","1.54%"
"Dec 16, 2022","5.3058","5.7981","5.8758","5.2168","3.28M","-8.49%"
"Dec 15, 2022","5.7981","5.9081","6.0128","5.7695","2.65M","-1.86%"
"Dec 14, 2022","5.9078","6.1078","6.1791","5.9078","2.54M","-3.27%"
"Dec 13, 2022","6.1078","5.9229","6.2510","5.8382","2.49M","3.14%"
"Dec 12, 2022","5.9218","5.9215","5.9764","5.7449","2.06M","0.00%"
"Dec 11, 2022","5.9215","6.0795","6.1077","5.8996","1.56M","-2.60%"
"Dec 10, 2022","6.0795","6.1665","6.2185","6.0595","1.19M","-1.40%"
"Dec 09, 2022","6.1660","6.1874","6.2893","6.0716","2.16M","-0.35%"
"Dec 08, 2022","6.1874","6.0010","6.2282","5.9202","2.17M","3.11%"
"Dec 07, 2022","6.0008","6.1801","6.2809","5.8791","2.18M","-2.90%"
"Dec 06, 2022","6.1801","6.1707","6.2385","6.0500","2.09M","0.15%"
"Dec 05, 2022","6.1707","6.2674","6.4195","6.1197","2.57M","-1.54%"
"Dec 04, 2022","6.2674","6.0985","6.2962","6.0981","1.79M","2.77%"
"Dec 03, 2022","6.0987","6.3406","6.4388","6.0677","2.79M","-3.81%"
"Dec 02, 2022","6.3404","5.9099","6.5386","5.8604","4.18M","7.29%"
"Dec 01, 2022","5.9099","5.8601","5.9698","5.7198","2.48M","0.85%"
"Nov 30, 2022","5.8601","5.4600","5.8999","5.4600","3.72M","7.33%"
"Nov 29, 2022","5.4598","5.2900","5.5301","5.2602","1.50M","3.21%"
"Nov 28, 2022","5.2900","5.4099","5.4599","5.1499","1.76M","-2.22%"
"Nov 27, 2022","5.4099","5.4200","5.6200","5.3900","1.59M","-0.19%"
"Nov 26, 2022","5.4200","5.4101","5.6101","5.3700","2.01M","0.18%"
"Nov 25, 2022","5.4101","5.4600","5.5099","5.3000","2.03M","-0.91%"
"Nov 24, 2022","5.4600","5.4800","5.5801","5.3900","1.83M","-0.37%"
"Nov 23, 2022","5.4800","5.3099","5.5399","5.2601","2.06M","3.59%"
"Nov 22, 2022","5.2901","5.2000","5.3800","4.9900","3.01M","1.73%"
"Nov 21, 2022","5.2000","5.4400","5.4797","5.0901","3.01M","-4.41%"
"Nov 20, 2022","5.4399","5.7599","5.8202","5.3901","1.62M","-5.56%"
"Nov 19, 2022","5.7599","5.8401","5.8602","5.6902","1.16M","-1.03%"
"Nov 18, 2022","5.8201","5.7999","6.0500","5.7900","2.19M","0.87%"
"Nov 17, 2022","5.7700","5.8901","6.0499","5.6701","1.65M","-2.04%"
"Nov 16, 2022","5.8901","6.2801","6.4101","5.8300","2.28M","-6.36%"
"Nov 15, 2022","6.2899","6.0802","6.4902","5.9700","3.29M","3.45%"
"Nov 14, 2022","6.0802","5.8002","6.1002","5.3804","4.71M","4.83%"
"Nov 13, 2022","5.8001","5.5598","6.1698","5.5200","6.22M","4.32%"
"Nov 12, 2022","5.5598","6.0906","6.1802","5.3202","6.02M","-8.86%"
"Nov 11, 2022","6.1002","5.7599","6.2399","5.4599","5.98M","5.73%"
"Nov 10, 2022","5.7695","4.8906","5.9096","4.8194","8.57M","18.00%"
"Nov 09, 2022","4.8895","6.0697","6.2196","4.7383","7.24M","-19.45%"
"Nov 08, 2022","6.0697","7.0099","7.0899","5.4527","8.43M","-13.41%"
"Nov 07, 2022","7.0099","7.0698","7.6606","6.8992","5.39M","-0.85%"
"Nov 06, 2022","7.0698","7.6898","7.7502","7.0597","2.87M","-8.06%"
"Nov 05, 2022","7.6898","7.5503","7.7798","7.5299","3.24M","1.85%"
"Nov 04, 2022","7.5503","6.9203","7.7498","6.8299","4.99M","9.10%"
"Nov 03, 2022","6.9203","7.0902","7.4003","6.8902","4.09M","-2.40%"
"Nov 02, 2022","7.0902","7.1106","7.3605","6.8399","4.52M","-0.29%"
"Nov 01, 2022","7.1106","6.9600","7.4596","6.9101","3.71M","2.16%"
"Oct 31, 2022","6.9600","6.8903","7.1201","6.7000","2.42M","1.01%"
"Oct 30, 2022","6.8903","7.0901","7.3598","6.7999","2.77M","-2.82%"
"Oct 29, 2022","7.0901","6.8507","7.2200","6.7102","4.05M","3.50%"
"Oct 28, 2022","6.8507","6.8000","6.9702","6.5202","6.06M","0.74%"
"Oct 27, 2022","6.8000","6.7093","7.2002","6.6895","4.72M","1.35%"
"Oct 26, 2022","6.7093","6.5607","6.8904","6.5200","2.87M","2.27%"
"Oct 25, 2022","6.5604","6.1496","6.7794","6.0797","2.93M","6.68%"
"Oct 24, 2022","6.1497","6.2897","6.3696","6.0698","2.19M","-2.23%"
"Oct 23, 2022","6.2897","6.0900","6.2995","5.9803","2.19M","3.28%"
"Oct 22, 2022","6.0900","6.0301","6.1497","5.9802","1.47M","0.99%"
"Oct 21, 2022","6.0301","6.0999","6.1699","5.8302","4.95M","-1.14%"
"Oct 20, 2022","6.0999","6.5796","6.5800","6.0199","3.46M","-7.29%"
"Oct 19, 2022","6.5797","6.5201","6.7697","6.3899","3.91M","0.92%"
"Oct 18, 2022","6.5201","6.3903","6.6599","6.2197","2.84M","2.03%"
"Oct 17, 2022","6.3903","6.1003","6.4500","6.0400","1.72M","4.75%"
"Oct 16, 2022","6.1003","6.0404","6.1699","5.9703","1.14M","0.99%"
"Oct 15, 2022","6.0404","6.2805","6.3304","6.0096","1.34M","-3.82%"
"Oct 14, 2022","6.2805","6.1494","6.5297","6.0902","3.59M","2.29%"
"Oct 13, 2022","6.1401","6.0598","6.2100","5.3997","5.04M","1.33%"
"Oct 12, 2022","6.0598","5.9905","6.1701","5.9697","1.27M","1.16%"
"Oct 11, 2022","5.9903","6.3903","6.5096","5.9500","2.35M","-6.26%"
"Oct 10, 2022","6.3903","6.6301","6.7106","6.2498","1.44M","-3.62%"
"Oct 09, 2022","6.6301","6.5103","6.6496","6.4899","1.13M","1.84%"
"Oct 08, 2022","6.5103","6.7997","6.8399","6.4397","1.49M","-4.26%"
"Oct 07, 2022","6.7997","6.8704","7.0796","6.6805","2.70M","-1.03%"
"Oct 06, 2022","6.8704","6.8195","6.9999","6.7600","3.44M","1.02%"
"Oct 05, 2022","6.8007","6.6497","6.8201","6.4705","2.01M","2.27%"
"Oct 04, 2022","6.6498","6.6302","6.8403","6.5702","4.39M","0.30%"
"Oct 03, 2022","6.6302","6.2596","6.7904","6.1905","4.20M","5.92%"
"Oct 02, 2022","6.2596","6.4000","6.5288","6.1889","4.61M","-2.19%"
"Oct 01, 2022","6.4000","6.4697","6.6599","6.3899","1.93M","-1.08%"
"Sep 30, 2022","6.4696","6.3796","6.7004","6.2704","4.39M","1.41%"
"Sep 29, 2022","6.3796","6.5601","6.5698","6.1302","2.77M","-2.75%"
"Sep 28, 2022","6.5601","6.3602","6.6202","6.0106","3.95M","3.14%"
"Sep 27, 2022","6.3602","5.9204","6.6999","5.9103","6.64M","7.43%"
"Sep 26, 2022","5.9204","5.6600","5.9899","5.5505","2.68M","4.60%"
"Sep 25, 2022","5.6600","5.7999","5.9594","5.6196","1.45M","-2.41%"
"Sep 24, 2022","5.7999","5.9104","6.0498","5.7701","1.53M","-1.87%"
"Sep 23, 2022","5.9104","5.7396","5.9895","5.7097","2.10M","2.98%"
"Sep 22, 2022","5.7396","5.3396","5.8504","5.3205","2.42M","7.48%"
"Sep 21, 2022","5.3400","5.2995","5.7497","5.1499","2.76M","0.76%"
"Sep 20, 2022","5.2995","5.4795","5.5503","5.2801","1.36M","-3.28%"
"Sep 19, 2022","5.4795","5.4793","5.5201","5.2200","2.28M","0.00%"
"Sep 18, 2022","5.4793","6.0195","6.0496","5.3603","1.74M","-8.84%"
"Sep 17, 2022","6.0104","5.8298","6.0305","5.8103","1.10M","3.10%"
"Sep 16, 2022","5.8298","5.8804","5.9397","5.6602","1.13M","-0.87%"
"Sep 15, 2022","5.8807","6.1801","6.2301","5.7899","2.31M","-4.85%"
"Sep 14, 2022","6.1803","6.0399","6.2303","5.9692","1.50M","2.32%"
"Sep 13, 2022","6.0399","6.6507","6.7606","5.9998","2.72M","-9.18%"
"Sep 12, 2022","6.6506","6.4804","6.9602","6.3801","2.85M","2.47%"
"Sep 11, 2022","6.4903","6.6700","6.7202","6.3702","2.09M","-2.69%"
"Sep 10, 2022","6.6700","6.5100","6.7196","6.4504","1.85M","2.46%"
"Sep 09, 2022","6.5100","6.1797","6.7099","6.1797","3.21M","5.34%"
"Sep 08, 2022","6.1797","6.1200","6.2600","5.9598","1.44M","0.98%"
"Sep 07, 2022","6.1200","5.8206","6.2203","5.7196","1.58M","4.97%"
"Sep 06, 2022","5.8300","6.5895","6.7498","5.8093","2.76M","-11.53%"
"Sep 05, 2022","6.5899","6.4803","6.6698","6.2006","1.96M","1.69%"
"Sep 04, 2022","6.4803","6.3099","6.5197","6.2387","944.74K","2.70%"
"Sep 03, 2022","6.3099","6.4008","6.4099","6.2203","573.98K","-1.42%"
"Sep 02, 2022","6.4008","6.3104","6.6806","6.2005","1.56M","1.43%"
"Sep 01, 2022","6.3106","6.1400","6.3595","5.9599","1.94M","2.78%"
"Aug 31, 2022","6.1400","6.1702","6.4100","6.1000","4.18M","-0.49%"
"Aug 30, 2022","6.1700","6.3304","6.4597","5.9403","2.39M","-2.68%"
"Aug 29, 2022","6.3400","5.7303","6.3905","5.6901","1.81M","10.64%"
"Aug 28, 2022","5.7303","6.0598","6.1095","5.7100","1.72M","-5.44%"
"Aug 27, 2022","6.0598","6.1502","6.2001","5.9504","2.20M","-1.47%"
"Aug 26, 2022","6.1502","7.0301","7.0301","6.0802","3.63M","-12.52%"
"Aug 25, 2022","7.0301","7.0494","7.2405","6.9296","1.69M","-0.27%"
"Aug 24, 2022","7.0494","7.1101","7.2800","6.8702","1.57M","-0.85%"
"Aug 23, 2022","7.1101","6.9893","7.2095","6.7503","1.89M","1.72%"
"Aug 22, 2022","6.9896","7.2098","7.3390","6.6394","3.12M","-3.06%"
"Aug 21, 2022","7.2098","6.9998","7.3201","6.9800","1.97M","3.00%"
"Aug 20, 2022","6.9998","6.9002","7.1902","6.7500","1.96M","1.44%"
"Aug 19, 2022","6.9001","7.5609","7.6709","6.8295","3.99M","-8.74%"
"Aug 18, 2022","7.5609","7.9505","8.1998","7.5007","2.04M","-4.90%"
"Aug 17, 2022","7.9502","8.3306","8.6697","7.8603","2.63M","-4.68%"
"Aug 16, 2022","8.3402","8.4701","8.5697","8.1998","2.92M","-1.53%"
"Aug 15, 2022","8.4701","8.8800","9.1695","8.3001","3.07M","-4.51%"
"Aug 14, 2022","8.8703","8.9900","9.6002","8.7693","3.15M","-1.33%"
"Aug 13, 2022","8.9900","9.2096","9.3303","8.9197","2.01M","-2.39%"
"Aug 12, 2022","9.2096","8.9596","9.2403","8.7502","1.89M","2.79%"
"Aug 11, 2022","8.9596","9.2102","9.5806","8.8699","3.27M","-2.72%"
"Aug 10, 2022","9.2100","8.4398","9.4106","8.2198","3.79M","9.13%"
"Aug 09, 2022","8.4398","8.7900","8.8698","8.1296","2.91M","-3.98%"
"Aug 08, 2022","8.7900","8.7897","9.2604","8.7598","2.52M","0.00%"
"Aug 07, 2022","8.7897","8.7699","8.9706","8.6992","1.13M","0.23%"
"Aug 06, 2022","8.7699","8.9610","9.1400","8.7403","1.46M","-2.34%"
"Aug 05, 2022","8.9800","8.8195","9.2600","8.7901","2.75M","1.82%"
"Aug 04, 2022","8.8195","8.9107","9.1105","8.5697","4.12M","-1.54%"
"Aug 03, 2022","8.9575","8.2519","9.3897","8.0399","5.73M","8.55%"
"Aug 02, 2022","8.2519","8.3604","8.6697","7.8103","5.88M","-1.64%"
"Aug 01, 2022","8.3893","8.3392","8.5701","8.0601","3.31M","0.58%"
"Jul 31, 2022","8.3407","8.7697","9.1401","8.3310","3.98M","-4.89%"
"Jul 30, 2022","8.7697","9.0798","9.1502","8.5297","3.98M","-3.39%"
"Jul 29, 2022","9.0774","9.2902","9.3994","8.6294","5.90M","-2.29%"
"Jul 28, 2022","9.2902","8.0397","9.7712","7.9701","10.56M","15.55%"
"Jul 27, 2022","8.0399","6.6593","8.1893","6.5098","6.18M","20.73%"
"Jul 26, 2022","6.6593","7.0332","7.0504","6.2202","4.99M","-5.69%"
"Jul 25, 2022","7.0611","7.2218","7.5107","6.8203","6.66M","-2.23%"
"Jul 24, 2022","7.2218","6.9697","7.3034","6.8899","2.73M","3.62%"
"Jul 23, 2022","6.9697","6.8909","7.2093","6.6676","2.43M","1.14%"
"Jul 22, 2022","6.8909","7.2293","7.4504","6.8201","3.14M","-4.68%"
"Jul 21, 2022","7.2292","6.8601","7.2897","6.6703","3.34M","5.38%"
"Jul 20, 2022","6.8598","7.3500","7.6003","6.8002","4.88M","-6.67%"
"Jul 19, 2022","7.3500","7.3493","7.7494","7.2195","6.56M","0.01%"
"Jul 18, 2022","7.3493","6.9403","7.4499","6.9392","4.94M","5.89%"
"Jul 17, 2022","6.9403","7.3706","7.4599","6.9101","2.94M","-5.84%"
"Jul 16, 2022","7.3706","6.7805","7.6711","6.6797","5.22M","8.70%"
"Jul 15, 2022","6.7805","7.0198","7.2112","6.7304","5.00M","-3.41%"
"Jul 14, 2022","7.0199","6.1293","7.0894","6.0398","12.83M","14.53%"
"Jul 13, 2022","6.1293","5.5301","6.2296","5.2793","6.91M","10.84%"
"Jul 12, 2022","5.5301","5.5697","5.8705","5.4502","7.02M","-0.71%"
"Jul 11, 2022","5.5697","6.2303","6.2793","5.2314","6.15M","-10.60%"
"Jul 10, 2022","6.2303","6.4598","6.4702","5.9897","3.71M","-3.56%"
"Jul 09, 2022","6.4601","5.7997","6.6092","5.7997","4.23M","11.38%"
"Jul 08, 2022","5.8000","5.7303","5.9505","5.5209","3.46M","1.22%"
"Jul 07, 2022","5.7303","5.3594","5.8203","5.2899","2.74M","6.92%"
"Jul 06, 2022","5.3594","5.3000","5.4902","5.1992","3.61M","1.10%"
"Jul 05, 2022","5.3009","5.3401","5.4394","5.0196","3.35M","-0.75%"
"Jul 04, 2022","5.3408","4.9199","5.3495","4.7302","2.56M","8.55%"
"Jul 03, 2022","4.9199","4.9106","4.9500","4.7297","2.14M","0.19%"
"Jul 02, 2022","4.9105","4.8692","5.0801","4.7201","3.03M","0.85%"
"Jul 01, 2022","4.8691","5.0005","5.1298","4.7506","4.03M","-2.63%"
"Jun 30, 2022","5.0005","5.1101","5.1399","4.6105","5.49M","-2.14%"
"Jun 29, 2022","5.1101","4.9200","5.2603","4.7907","4.76M","3.86%"
"Jun 28, 2022","4.9200","5.3299","5.4800","4.8602","3.56M","-7.69%"
"Jun 27, 2022","5.3299","5.6000","5.9293","5.2895","4.11M","-4.82%"
"Jun 26, 2022","5.6000","5.6199","6.0504","5.4799","4.13M","-0.52%"
"Jun 25, 2022","5.6291","5.4701","5.7694","5.2512","3.00M","2.90%"
"Jun 24, 2022","5.4703","5.6202","5.7904","5.3601","5.06M","-2.67%"
"Jun 23, 2022","5.6202","4.9799","5.6497","4.9695","7.06M","12.86%"
"Jun 22, 2022","4.9799","4.7703","5.3504","4.5796","10.20M","4.60%"
"Jun 21, 2022","4.7610","4.2906","5.1701","4.2304","6.37M","10.96%"
"Jun 20, 2022","4.2906","4.1901","4.3802","3.9898","4.99M","2.40%"
"Jun 19, 2022","4.1901","3.6492","4.2597","3.5002","3.95M","14.82%"
"Jun 18, 2022","3.6494","3.9306","4.0806","3.3385","4.35M","-7.15%"
"Jun 17, 2022","3.9306","3.8305","4.0096","3.7997","2.27M","2.61%"
"Jun 16, 2022","3.8305","4.4203","4.4597","3.7596","5.35M","-13.34%"
"Jun 15, 2022","4.4203","3.8682","4.4302","3.3914","7.33M","14.19%"
"Jun 14, 2022","3.8710","3.6604","3.9196","3.3599","5.03M","5.75%"
"Jun 13, 2022","3.6604","4.0608","4.1299","3.4599","7.37M","-9.86%"
"Jun 12, 2022","4.0608","4.3895","4.4698","4.0603","2.71M","-7.29%"
"Jun 11, 2022","4.3803","4.8105","4.9691","4.3396","2.60M","-8.94%"
"Jun 10, 2022","4.8105","5.2004","5.2210","4.7898","1.78M","-7.50%"
"Jun 09, 2022","5.2004","5.0895","5.3510","5.0302","1.08M","2.18%"
"Jun 08, 2022","5.0895","5.2287","5.3293","5.0303","2.30M","-2.66%"
"Jun 07, 2022","5.2287","5.3706","5.4108","4.9490","3.69M","-2.64%"
"Jun 06, 2022","5.3704","5.0904","5.4196","5.0900","2.28M","5.50%"
"Jun 05, 2022","5.0904","5.1296","5.2195","4.9203","1.25M","-0.76%"
"Jun 04, 2022","5.1292","5.0796","5.1700","4.9398","1.19M","0.98%"
"Jun 03, 2022","5.0796","5.3082","5.3308","4.9698","1.69M","-4.32%"
"Jun 02, 2022","5.3091","5.1473","5.3383","5.0506","2.94M","3.10%"
"Jun 01, 2022","5.1496","5.6994","5.8183","5.1008","3.53M","-9.80%"
"May 31, 2022","5.7091","5.6501","5.8705","5.5499","4.08M","1.04%"
"May 30, 2022","5.6501","4.9502","5.6899","4.8905","4.20M","14.14%"
"May 29, 2022","4.9502","4.9802","5.0299","4.7794","2.70M","-0.60%"
"May 28, 2022","4.9802","4.6914","5.0205","4.6104","2.85M","6.19%"
"May 27, 2022","4.6898","4.9587","5.0800","4.6010","6.06M","-5.42%"
"May 26, 2022","4.9587","5.6203","5.7700","4.7898","5.44M","-11.77%"
"May 25, 2022","5.6203","5.6000","5.7895","5.3796","3.67M","0.36%"
"May 24, 2022","5.6001","5.6293","5.8010","5.2894","4.23M","-0.52%"
"May 23, 2022","5.6292","5.4801","5.9708","5.3706","5.28M","2.71%"
"May 22, 2022","5.4809","5.2391","5.5404","5.1294","2.52M","4.62%"
"May 21, 2022","5.2391","5.0991","5.3696","5.0005","2.14M","2.75%"
"May 20, 2022","5.0991","5.1900","5.5203","4.9301","3.76M","-1.75%"
"May 19, 2022","5.1899","4.8901","5.2205","4.7404","3.46M","6.13%"
"May 18, 2022","4.8901","5.4696","5.5496","4.8701","2.88M","-10.60%"
"May 17, 2022","5.4700","5.0596","5.5004","5.0391","3.64M","8.30%"
"May 16, 2022","5.0509","5.4507","5.4507","4.9092","3.21M","-7.47%"
"May 15, 2022","5.4584","5.1702","5.4700","4.9804","3.11M","5.57%"
"May 14, 2022","5.1704","5.1308","5.3714","4.7198","3.64M","0.58%"
"May 13, 2022","5.1405","4.6609","5.4511","4.6097","4.98M","10.29%"
"May 12, 2022","4.6609","4.9088","5.1912","3.7753","10.32M","-5.05%"
"May 11, 2022","4.9088","6.0799","6.2113","4.6672","12.01M","-19.26%"
"May 10, 2022","6.0799","5.9420","6.6403","5.7716","6.86M","2.32%"
"May 09, 2022","5.9420","7.0996","7.2187","5.9401","7.19M","-16.31%"
"May 08, 2022","7.0997","7.1790","7.3382","6.8758","3.04M","-1.10%"
"May 07, 2022","7.1786","7.5809","7.6490","6.9901","3.06M","-5.31%"
"May 06, 2022","7.5809","7.3502","7.6799","6.8766","3.32M","3.14%"
"May 05, 2022","7.3502","7.9317","8.0989","7.0690","3.68M","-7.35%"
"May 04, 2022","7.9333","6.8518","7.9702","6.8283","3.23M","15.78%"
"May 03, 2022","6.8518","6.9384","7.1296","6.6908","1.66M","-1.25%"
"May 02, 2022","6.9384","7.1112","7.1886","6.6583","2.12M","-2.43%"
"May 01, 2022","7.1112","6.7597","7.2218","6.5980","2.87M","5.20%"
"Apr 30, 2022","6.7597","7.6201","7.7891","6.3888","3.17M","-11.29%"
"Apr 29, 2022","7.6201","8.1621","8.2287","7.5194","2.12M","-6.64%"
"Apr 28, 2022","8.1621","8.2193","8.3502","8.0298","1.68M","-0.70%"
"Apr 27, 2022","8.2193","8.0014","8.4079","7.9807","1.31M","2.72%"
"Apr 26, 2022","8.0014","8.7303","8.8103","7.9271","1.69M","-8.35%"
"Apr 25, 2022","8.7303","8.7020","8.7624","8.1741","2.41M","0.23%"
"Apr 24, 2022","8.7103","8.9025","9.1420","8.6896","1.36M","-2.23%"
"Apr 23, 2022","8.9087","8.9085","9.2179","8.8478","1.39M","0.00%"
"Apr 22, 2022","8.9085","8.8510","9.1084","8.7492","1.84M","0.66%"
"Apr 21, 2022","8.8506","9.3120","9.7100","8.6502","2.43M","-4.95%"
"Apr 20, 2022","9.3120","9.5401","9.6990","9.1101","1.78M","-2.39%"
"Apr 19, 2022","9.5400","9.3813","9.6200","9.2182","1.11M","1.69%"
"Apr 18, 2022","9.3813","9.2405","9.4088","8.8693","1.60M","1.53%"
"Apr 17, 2022","9.2398","9.6612","9.7180","9.1986","946.25K","-4.36%"
"Apr 16, 2022","9.6612","9.7693","9.8190","9.4997","786.99K","-1.10%"
"Apr 15, 2022","9.7690","9.4798","9.9566","9.4667","1.60M","3.14%"
"Apr 14, 2022","9.4720","9.6580","9.7497","9.3312","1.26M","-1.85%"
"Apr 13, 2022","9.6508","9.3133","9.7217","9.2755","1.71M","3.64%"
"Apr 12, 2022","9.3119","8.9715","9.4885","8.9384","1.45M","3.79%"
"Apr 11, 2022","8.9715","9.8870","9.8885","8.9085","2.07M","-9.25%"
"Apr 10, 2022","9.8854","10.0486","10.3185","9.8296","1.20M","-1.62%"
"Apr 09, 2022","10.0486","9.7346","10.0728","9.7223","1.14M","3.23%"
"Apr 08, 2022","9.7346","10.4608","10.5475","9.6210","2.04M","-6.99%"
"Apr 07, 2022","10.4661","9.9522","10.5419","9.8386","1.94M","5.17%"
"Apr 06, 2022","9.9517","11.1121","11.1121","9.9221","3.71M","-10.42%"
"Apr 05, 2022","11.1098","11.5425","11.8910","11.0696","2.16M","-3.75%"
"Apr 04, 2022","11.5425","11.8698","12.1589","11.0511","3.70M","-2.76%"
"Apr 03, 2022","11.8697","11.6299","12.0300","11.4690","2.87M","2.06%"
"Apr 02, 2022","11.6299","11.5803","12.0001","11.4510","4.25M","0.42%"
"Apr 01, 2022","11.5808","11.2910","12.0722","10.8904","3.92M","2.64%"
"Mar 31, 2022","11.2827","11.7022","12.4805","11.0612","5.29M","-3.59%"
"Mar 30, 2022","11.7022","11.2496","11.8486","10.8284","4.04M","4.02%"
"Mar 29, 2022","11.2497","10.9020","11.7102","10.8995","3.62M","3.19%"
"Mar 28, 2022","10.9020","11.4089","11.5600","10.8060","3.84M","-4.44%"
"Mar 27, 2022","11.4089","10.6282","11.4207","10.4627","2.86M","7.35%"
"Mar 26, 2022","10.6282","10.5806","10.7494","10.3788","1.48M","0.45%"
"Mar 25, 2022","10.5806","10.7877","11.1301","10.4575","3.41M","-1.92%"
"Mar 24, 2022","10.7877","10.0009","10.7986","9.9693","3.83M","7.87%"
"Mar 23, 2022","10.0008","9.7502","10.2470","9.6599","2.62M","2.57%"
"Mar 22, 2022","9.7499","9.3413","10.1584","9.2706","3.37M","4.38%"
"Mar 21, 2022","9.3411","9.3290","9.6089","9.1715","2.60M","0.22%"
"Mar 20, 2022","9.3206","9.7393","9.7794","9.1393","2.19M","-4.30%"
"Mar 19, 2022","9.7393","9.6300","9.9597","9.5799","3.88M","1.13%"
"Mar 18, 2022","9.6301","9.2103","9.7503","9.0101","19.32M","4.56%"
"Mar 17, 2022","9.2102","9.0997","9.3999","9.0203","15.69M","1.21%"
"Mar 16, 2022","9.0997","8.7101","9.2104","8.5696","23.79M","4.47%"
"Mar 15, 2022","8.7101","8.4899","8.7899","8.1400","13.49M","2.59%"
"Mar 14, 2022","8.4899","8.2094","8.5702","8.1099","16.23M","3.42%"
"Mar 13, 2022","8.2094","8.4601","8.7499","8.1299","11.77M","-2.96%"
"Mar 12, 2022","8.4601","8.5101","8.8701","8.4596","11.86M","-0.59%"
"Mar 11, 2022","8.5101","8.6799","9.0400","8.3699","20.38M","-1.96%"
"Mar 10, 2022","8.6799","9.2100","9.2900","8.5195","18.66M","-5.76%"
"Mar 09, 2022","9.2100","8.8199","9.4501","8.7501","24.79M","4.42%"
"Mar 08, 2022","8.8200","8.3000","8.8699","8.2500","19.86M","6.01%"
"Mar 07, 2022","8.3198","8.4799","8.7900","8.1197","21.09M","-1.89%"
"Mar 06, 2022","8.4799","9.0199","9.0699","8.4500","16.17M","-5.99%"
"Mar 05, 2022","9.0199","8.8000","9.1399","8.6800","11.71M","2.61%"
"Mar 04, 2022","8.7901","9.5596","9.5695","8.6694","19.47M","-7.96%"
"Mar 03, 2022","9.5505","10.0400","10.1191","9.4296","1.97M","-4.88%"
"Mar 02, 2022","10.0401","10.3508","10.5701","9.9603","2.99M","-3.00%"
"Mar 01, 2022","10.3508","10.5390","10.8113","10.0580","4.22M","-1.79%"
"Feb 28, 2022","10.5395","9.7604","10.5395","9.3706","5.24M","7.99%"
"Feb 27, 2022","9.7598","9.0412","10.1399","8.6596","5.78M","7.96%"
"Feb 26, 2022","9.0400","9.2398","9.5447","8.9582","1.62M","-2.17%"
"Feb 25, 2022","9.2402","8.8111","9.4294","8.4600","2.25M","4.87%"
"Feb 24, 2022","8.8110","8.7219","8.9917","7.5098","6.68M","1.02%"
"Feb 23, 2022","8.7219","8.8610","9.4222","8.7190","2.23M","-1.57%"
"Feb 22, 2022","8.8610","8.5123","8.9519","8.1668","2.74M","4.11%"
"Feb 21, 2022","8.5111","9.3422","9.7507","8.5111","2.91M","-8.86%"
"Feb 20, 2022","9.3386","10.0204","10.0403","9.1990","1.79M","-6.80%"
