"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","16,676.61","16,758.21","16,781.12","16,612.71","0.00K","-0.49%"
"Dec 17, 2022","16,758.21","16,576.12","16,759.31","16,576.12","0.00K","1.10%"
"Dec 16, 2022","16,576.12","17,331.12","17,503.50","16,525.12","0.01K","-4.11%"
"Dec 15, 2022","17,286.70","17,810.00","17,837.10","17,286.10","0.00K","-2.94%"
"Dec 14, 2022","17,810.00","17,748.00","18,349.97","17,700.90","0.01K","0.35%"
"Dec 13, 2022","17,748.00","17,209.66","17,978.99","17,071.91","0.01K","3.13%"
"Dec 12, 2022","17,209.66","17,067.81","17,224.47","16,851.40","-","0.83%"
"Dec 11, 2022","17,067.81","17,109.90","17,232.21","17,053.75","0.00K","-0.25%"
"Dec 10, 2022","17,109.90","17,110.20","17,196.60","17,087.20","0.00K","-0.00%"
"Dec 09, 2022","17,110.20","17,209.50","17,267.26","17,043.52","0.01K","-0.58%"
"Dec 08, 2022","17,209.50","16,832.61","17,265.09","16,735.13","0.01K","2.24%"
"Dec 07, 2022","16,832.61","17,070.60","17,102.30","16,666.91","0.01K","-1.39%"
"Dec 06, 2022","17,070.60","16,936.60","17,119.86","16,890.60","0.01K","0.79%"
"Dec 05, 2022","16,936.60","17,145.48","17,399.99","16,837.61","0.00K","-1.22%"
"Dec 04, 2022","17,145.48","16,861.71","17,300.00","16,839.41","0.00K","1.71%"
"Dec 03, 2022","16,857.49","17,087.48","17,300.00","16,819.19","0.00K","-1.35%"
"Dec 02, 2022","17,087.48","16,940.15","17,087.48","16,682.71","0.01K","0.87%"
"Dec 01, 2022","16,940.15","17,152.71","17,249.00","16,849.33","0.01K","-1.24%"
"Nov 30, 2022","17,152.71","16,412.29","17,195.55","16,380.19","0.01K","4.51%"
"Nov 29, 2022","16,412.29","16,175.41","16,474.24","16,105.51","0.01K","1.46%"
"Nov 28, 2022","16,175.41","16,329.80","16,408.09","15,951.02","0.01K","-0.95%"
"Nov 27, 2022","16,329.80","16,361.23","16,542.07","16,323.59","0.01K","-0.19%"
"Nov 26, 2022","16,361.23","16,239.31","16,593.79","16,211.20","0.02K","0.75%"
"Nov 25, 2022","16,239.31","16,452.21","16,476.81","15,988.64","0.01K","-1.29%"
"Nov 24, 2022","16,452.21","16,396.60","16,612.79","16,229.82","0.01K","0.34%"
"Nov 23, 2022","16,396.60","16,057.42","16,449.25","15,956.42","0.02K","2.11%"
"Nov 22, 2022","16,057.42","15,731.20","16,151.49","15,483.97","0.00K","2.07%"
"Nov 21, 2022","15,731.20","16,203.27","16,250.49","15,437.72","0.01K","-2.91%"
"Nov 20, 2022","16,203.27","16,680.91","16,700.43","16,145.76","0.01K","-2.86%"
"Nov 19, 2022","16,680.91","16,590.20","16,765.78","16,573.42","0.00K","0.32%"
"Nov 18, 2022","16,628.18","16,564.23","16,824.09","16,541.52","0.01K","0.28%"
"Nov 17, 2022","16,582.49","16,413.10","16,683.70","16,283.04","0.01K","1.03%"
"Nov 16, 2022","16,413.10","16,872.25","16,974.33","16,334.54","-","-2.72%"
"Nov 15, 2022","16,872.25","16,483.88","17,090.04","16,442.90","-","2.31%"
"Nov 14, 2022","16,492.10","16,307.97","17,096.39","15,818.82","-","1.13%"
"Nov 13, 2022","16,307.97","16,766.34","16,911.22","16,217.10","-","-2.73%"
"Nov 12, 2022","16,766.34","15,495.87","16,837.32","15,273.37","-","8.20%"
"Nov 11, 2022","15,495.87","17,077.75","17,234.95","14,922.00","-","-9.26%"
